provider,case_id,query_sent,n_results,latency_ms,top1_name,top1_category,top1_id,top1_lat,top1_lon,top2_name,top3_name
nominatim,TLV-14,"Bar 51, Tel Aviv",2,1279,"51, בר יוחאי, תל־אביב–יפו, אבו כביר, גבעת הרצל, תל־אביב–יפו, נפת תל אביב, מחוז תל אביב, 6655305, ישראל","place:house","node/2079192783","32.0524680","34.7768870","51, בר כוכבא, תל־אביב–יפו, הצפון הישן - החלק הדרומי, תל־אביב–יפו, נפת תל אביב, מחוז תל אביב, 6356836, ישראל",""
nominatim,LDN-01,"Kiln, London",5,371,"Kiln","amenity:restaurant","node/466926237","51.5113507","-0.1359965","Kiln Theatre","Pot Kiln Wood"
nominatim,LDN-02,"Bar Termini, London",1,386,"Bar Termini","amenity:bar","node/4917918321","51.5136688","-0.1297828","",""
nominatim,LDN-03,"Monmouth Coffee, London",4,426,"Monmouth Coffee Company","amenity:cafe","way/82770825","51.5055145","-0.0914602","Monmouth Coffee Company","Monmouth Coffee Company"
nominatim,LDN-04,"Prufrock Coffee, London",1,381,"Prufrock Coffee","amenity:cafe","node/4185611903","51.5199496","-0.1095201","",""
nominatim,LDN-05,"Brat, London",1,382,"Brat","amenity:restaurant","node/11959061648","51.5242656","-0.0766909","",""
nominatim,LDN-06,"Satan's Whiskers, London",1,376,"Satan's Whiskers","amenity:bar","way/378578236","51.5294869","-0.0561601","",""
nominatim,LDN-07,"Padella, London",2,838,"Padella","amenity:restaurant","way/82770904","51.5051380","-0.0899124","Padella",""
nominatim,LDN-08,"Dishoom Shoreditch, London",0,344,"","","","","","",""
nominatim,LDN-09,"Bao Soho, London",1,596,"Bao","amenity:restaurant","node/13577345322","51.5132163","-0.1365297","",""
nominatim,LDN-10,"Prufrock Cofee, London",0,460,"","","","","","",""
nominatim,LDN-11,"Satans Wiskers, London",0,404,"","","","","","",""
nominatim,LDN-12,"Padella",5,433,"Padella","place:hamlet","node/317003799","42.7568826","12.1609956","Padella","Padella"
nominatim,LDN-13,"The Dove, London",2,565,"The Dove","amenity:pub","way/174088755","51.4905085","-0.2348574","The Dove",""
nominatim,NEG-01,"this hidden gem in Shoreditch, London",0,468,"","","","","","",""
nominatim,NEG-02,"best coffee ever, Tokyo",0,410,"","","","","","",""
nominatim,NEG-03,"that little wine bar near the market, Tel Aviv",0,473,"","","","","","",""
photon,TYO-01,"Glitch Coffee & Roasters, Tokyo",1,461,"Glitch Coffee and Roasters","amenity:cafe","N/12508568356","35.668888","139.7686729","",""
photon,TYO-02,"Onibus Coffee, Tokyo",3,402,"Onibus Coffee","craft:coffee_roaster","N/4729979489","35.6431844","139.6980169","Onibus Coffee","Onibus Coffee"
photon,TYO-03,"Fuglen Tokyo, Tokyo",3,506,"Fuglen Tokyo","amenity:cafe","N/2723034393","35.666644","139.692426","Fuglen",""
photon,TYO-04,"Koffee Mameya, Tokyo",2,536,"KOFFEE MAMEYA Kakeru","amenity:cafe","N/13457858172","35.6764586","139.8042714","",""
photon,TYO-05,"Bar Benfiddich, Tokyo",1,413,"ベンフィディック","amenity:bar","N/4535635989","35.6894885","139.6965995","",""
photon,TYO-06,"Bar Trench, Tokyo",2,428,"Bar TRENCH","amenity:bar","N/4884402822","35.648424","139.7079184","Bar TRENCH Annex",""
photon,TYO-07,"Afuri, Tokyo",5,380,"AFURI","amenity:restaurant","N/11287702869","35.6893288","139.6992356","AFURI","Afuri"
photon,TYO-08,"Ichiran Shibuya, Tokyo",3,358,"一蘭","amenity:restaurant","N/3047251663","35.6611293","139.7009878","一蘭 原宿","一蘭"
photon,TYO-09,"猿田彦珈琲, Tokyo",3,387,"猿田彦珈琲","amenity:cafe","N/3779248999","35.6613097","139.5855667","猿田彦珈琲","猿田彦珈琲"
photon,TYO-10,"むぎとオリーブ, Tokyo",1,307,"Ginza Noodles むぎとオリーブ Clam Ramen","amenity:restaurant","N/6404057088","35.6689905","139.7643405","",""
photon,TYO-11,"Sarutahiko Coffee, Tokyo",5,330,"sarutahiko coffee","shop:coffee","N/7308189194","35.6474864","139.7110529","Sarutahiko Coffee Ikebukuro","猿田彦コーヒー"
photon,TYO-12,"Fuglin Tokyo, Tokyo",5,565,"東京都","place:province","R/1543125","35.6768601","139.7638947","東京湾","東京湾"
photon,TYO-13,"Bar Benfidich, Tokyo",5,674,"東京湾","natural:bay","R/13904308","35.4700117","139.8477024","東京湾","東京メトロ半蔵門線"
photon,TYO-14,"Koffee Mameya",2,356,"KOFFEE MAMEYA Kakeru","amenity:cafe","N/13457858172","35.6764586","139.8042714","",""
photon,TLV-01,"Port Said, Tel Aviv",1,352,"פורט סעיד","amenity:bar","N/3398878837","32.0647773","34.7720826","",""
photon,TLV-02,"Cafe Levinsky 41, Tel Aviv",1,344,"","amenity:cafe","N/5249886425","32.0598436","34.7716925","",""
photon,TLV-03,"Bellboy, Tel Aviv",1,368,"Bellboy","amenity:bar","N/12102940425","32.0709975","34.7802908","",""
photon,TLV-04,"Imperial Craft Cocktail Bar, Tel Aviv",0,408,"","","","","","",""
photon,TLV-05,"Miznon, Tel Aviv",2,304,"Miznon","amenity:fast_food","N/9997008817","32.0738238","34.7815808","מזנון",""
photon,TLV-06,"HaKosem, Tel Aviv",2,396,"פלאפל הקוסם","amenity:fast_food","N/1791481321","32.0764281","34.7766833","הקוסם",""
photon,TLV-07,"הקוסם, תל אביב",2,396,"הקוסם","amenity:restaurant","N/10812430078","32.0711626","34.7862575","פלאפל הקוסם",""
photon,TLV-08,"אורנה ואלה, תל אביב",5,489,"אורנה פורת","highway:residential","W/861275127","32.0112281","34.7754382","אופנהיימר","אופנהיימר"
photon,TLV-09,"Cafe Xoho, Tel Aviv",5,462,"Tel Aviv Cafe","amenity:cafe","N/417031639","47.4981037","19.0626017","Tel Aviv Cafe","קפה ברזילי"
photon,TLV-10,"Anita Gelato, Tel Aviv",3,377,"Anita Gelato","amenity:ice_cream","N/2079180765","32.0626968","34.7664412","Anita Gelato","anita la mamma del gelato"
photon,TLV-11,"Port Sayid, Tel Aviv",5,546,"תל אביב סבידור מרכז","railway:station","N/2930618402","32.0842437","34.7983117","Jaffa Port","סטאי תל אביב"
photon,TLV-12,"Belboy tel aviv",5,507,"תל אביב–יפו","place:city","R/1382494","32.0852997","34.7818064","אוניברסיטת תל אביב","מחוז תל אביב"
photon,TLV-13,"Oved Daniel Sabich, Givatayim",1,407,"הסביח של עובד","amenity:fast_food","N/1857121006","32.076873","34.8143082","",""
photon,TLV-14,"Bar 51, Tel Aviv",5,346,"מוזנר","amenity:bar","N/2639708153","32.0663526","34.7764236","",""
photon,LDN-01,"Kiln, London",5,384,"Kiln Theatre","amenity:theatre","W/77665068","51.5431686","-0.2003532","Pot Kiln Wood","Kiln Pond"
photon,LDN-02,"Bar Termini, London",1,464,"Bar Termini","amenity:bar","N/4917918321","51.5136688","-0.1297828","",""
photon,LDN-03,"Monmouth Coffee, London",5,318,"Monmouth Coffee Company","amenity:cafe","N/12920922057","51.5143659","-0.1267997","Monmouth Coffee Company","Monmouth Coffee Company"
photon,LDN-04,"Prufrock Coffee, London",1,404,"Prufrock Coffee","amenity:cafe","N/4185611903","51.5199496","-0.1095201","",""
photon,LDN-05,"Brat, London",4,426,"Brat","amenity:restaurant","N/11959061648","51.5242656","-0.0766909","CraftedLondon","LONDON KIDS"
photon,LDN-06,"Satan's Whiskers, London",1,353,"Satan's Whiskers","amenity:bar","W/378578236","51.5294869","-0.0561601","",""
photon,LDN-07,"Padella, London",2,322,"Padella","amenity:restaurant","N/12147887896","51.5233156","-0.0819958","Padella",""
photon,LDN-08,"Dishoom Shoreditch, London",5,468,"Shoreditch","place:suburb","N/27365029","51.5266694","-0.0798926","Shoreditch High Street","Shoreditch High Street"
photon,LDN-09,"Bao Soho, London",1,500,"Bao","amenity:restaurant","N/13577345322","51.5132163","-0.1365297","",""
photon,LDN-10,"Prufrock Cofee, London",5,607,"Prufrock Coffee","amenity:cafe","N/4185611903","51.5199496","-0.1095201","Prufrock Coffee Company","Embassy of South Korea"
photon,LDN-11,"Satans Wiskers, London",5,945,"Satan's Whiskers","amenity:bar","W/378578236","51.5294869","-0.0561601","Wickersley Road","Wickerson Road"
photon,LDN-12,"Padella",5,357,"Padella","place:hamlet","N/317003799","42.7568826","12.1609956","Padella","Padella"
photon,LDN-13,"The Dove, London",5,495,"The Dove","amenity:pub","W/174088755","51.4905085","-0.2348574","The Dove","The Dove Centre"
photon,NEG-01,"this hidden gem in Shoreditch, London",0,745,"","","","","","",""
photon,NEG-02,"best coffee ever, Tokyo",4,597,"ever green","shop:florist","N/10014988382","35.7058554","139.7218019","Beasty Coffee [ cafe laboratory ]","Berth Coffee"
photon,NEG-03,"that little wine bar near the market, Tel Aviv",0,410,"","","","","","",""
